Production_Budget_In_USD,Worldwide_Gross_In_USD
130000000.00,273271982.00
130000000.00,492846291.00
130000000.00,290650494.00
130000000.00,352831065.00
130000000.00,373993951.00
130000000.00,251499665.00
130000000.00,215080810.00
130000000.00,79076678.00
129000000.00,522118795.00
127500000.00,689420051.00
127500000.00,356148063.00
127000000.00,614202315.00
127000000.00,353756621.00
125000000.00,1334392544.00
125000000.00,766575131.00
125000000.00,965054122.00
125000000.00,800128637.00
125000000.00,955371891.00
125000000.00,767820459.00
125000000.00,406348630.00
125000000.00,630163454.00
125000000.00,485004754.00
125000000.00,535663443.00
125000000.00,555840117.00
125000000.00,527965936.00
125000000.00,493214888.00
125000000.00,343242613.00
125000000.00,376000000.00
125000000.00,402448265.00
125000000.00,280355920.00
125000000.00,238317814.00
125000000.00,304868961.00
125000000.00,107360936.00
125000000.00,211856088.00
125000000.00,240759682.00
125000000.00,61642798.00
125000000.00,61698899.00
123000000.00,345445403.00
120000000.00,549588516.00
120000000.00,328711434.00
120000000.00,416168316.00
120000000.00,289480691.00
120000000.00,619310368.00
120000000.00,229545589.00
120000000.00,427947217.00
120000000.00,227163273.00
120000000.00,286192091.00
120000000.00,287916633.00
120000000.00,142531552.00
120000000.00,166000000.00
120000000.00,242981799.00
120000000.00,107212751.00
120000000.00,167849187.00
120000000.00,93394462.00
120000000.00,163018913.00
120000000.00,49628177.00
117000000.00,258751370.00
116000000.00,853530899.00
115000000.00,1027044677.00
115000000.00,848998877.00
115000000.00,656695615.00
115000000.00,560483719.00
115000000.00,416456852.00
115000000.00,178200000.00
115000000.00,165149302.00
115000000.00,77628265.00
113500000.00,132999811.00
112000000.00,232017848.00
111000000.00,289838913.00
110000000.00,786455570.00
110000000.00,689742192.00
110000000.00,579446407.00
110000000.00,486124090.00
110000000.00,456258539.00
110000000.00,563749323.00
110000000.00,382288147.00
110000000.00,295075882.00
110000000.00,362989076.00
110000000.00,339504276.00
110000000.00,215300000.00
110000000.00,330780051.00
110000000.00,208370892.00
110000000.00,302239672.00
110000000.00,229155503.00
110000000.00,295986876.00
110000000.00,263880341.00
110000000.00,253020464.00
110000000.00,177241171.00
110000000.00,348547523.00
110000000.00,172022517.00
110000000.00,152364370.00
110000000.00,127983283.00
110000000.00,76482461.00
110000000.00,150468000.00
110000000.00,218674938.00
110000000.00,167910690.00
110000000.00,72004159.00
109000000.00,133818283.00
109000000.00,87683966.00
108000000.00,655194200.00
106000000.00,119266661.00
105000000.00,348629585.00
105000000.00,298815224.00
105000000.00,270997378.00
105000000.00,269065678.00
105000000.00,402156682.00
105000000.00,10364769.00
104000000.00,408803696.00
103300000.00,232643008.00
103000000.00,457683805.00
103000000.00,362000072.00
103000000.00,133401882.00
102500000.00,212282709.00
102000000.00,594420283.00
102000000.00,358824714.00
102000000.00,465195589.00
102000000.00,130673154.00
100000000.00,876508805.00
100000000.00,515390883.00
100000000.00,336529144.00
100000000.00,362211740.00
100000000.00,331323410.00
100000000.00,449841566.00
100000000.00,366890181.00
100000000.00,310650574.00
100000000.00,365300000.00
100000000.00,267985456.00
100000000.00,236827677.00
100000000.00,170936470.00
100000000.00,212956024.00
100000000.00,389918903.00
100000000.00,262794441.00
100000000.00,234400000.00
100000000.00,325500000.00
100000000.00,169630573.00
100000000.00,311979256.00
100000000.00,99123656.00
100000000.00,249488115.00
100000000.00,243388614.00
100000000.00,278731369.00
100000000.00,212026975.00
100000000.00,165139629.00
100000000.00,96150482.00
100000000.00,145395745.00
100000000.00,171377916.00
100000000.00,126151409.00
100000000.00,139716717.00
100000000.00,121100000.00
100000000.00,69548641.00
100000000.00,95255485.00
100000000.00,115112118.00
100000000.00,82078046.00
100000000.00,209461378.00
100000000.00,91800000.00
100000000.00,97523020.00
100000000.00,220796009.00
100000000.00,126704591.00
100000000.00,75486351.00
100000000.00,89693309.00
100000000.00,103039258.00
100000000.00,59918422.00
100000000.00,85287417.00
100000000.00,18330958.00
100000000.00,7094995.00
100000000.00,98227017.00
99000000.00,250091610.00
99000000.00,190131036.00
99000000.00,85210012.00
98000000.00,435040395.00
97600000.00,224418748.00
97000000.00,183124621.00
97000000.00,238521247.00
95000000.00,534551353.00
95000000.00,879765137.00
95000000.00,159691085.00
95000000.00,294680778.00
95000000.00,223050874.00
95000000.00,104907746.00
95000000.00,165720921.00
95000000.00,263898761.00
95000000.00,65700000.00
95000000.00,94894448.00
95000000.00,91669648.00
95000000.00,108874967.00
94000000.00,936094852.00
94000000.00,1120224046.00
94000000.00,919148764.00
94000000.00,273330185.00
94000000.00,404561724.00
93000000.00,887176824.00
93000000.00,365900000.00
93000000.00,470986200.00
92500000.00,162839667.00
92000000.00,631441092.00
92000000.00,304249198.00
92000000.00,23911362.00
92000000.00,18517322.00
91000000.00,187861183.00
90000000.00,961812351.00
90000000.00,587790539.00
90000000.00,511358276.00
90000000.00,347425832.00
90000000.00,498438212.00
90000000.00,424536881.00
90000000.00,886686817.00
90000000.00,375895539.00
90000000.00,288693989.00
90000000.00,304978999.00
90000000.00,487519809.00
90000000.00,377312380.00
90000000.00,289660619.00
90000000.00,259736090.00
90000000.00,303500000.00
90000000.00,191145256.00
90000000.00,239373970.00
90000000.00,165900000.00
90000000.00,202910991.00
90000000.00,366101666.00
90000000.00,162136124.00
90000000.00,249517956.00
90000000.00,186049020.00
90000000.00,203932174.00
90000000.00,244041804.00
90000000.00,235900000.00
90000000.00,155750628.00
90000000.00,191200000.00
90000000.00,162753837.00
90000000.00,200859554.00
90000000.00,157092943.00
90000000.00,328325007.00
90000000.00,143049560.00
90000000.00,169400000.00
90000000.00,106000000.00
90000000.00,273477501.00
90000000.00,87420776.00
90000000.00,203653524.00
90000000.00,120100000.00
90000000.00,140900000.00
90000000.00,65716126.00
90000000.00,63356133.00
90000000.00,139877913.00
90000000.00,10551417.00
90000000.00,20466016.00
88000000.00,495700000.00
88000000.00,105021488.00
88000000.00,159487563.00
87500000.00,333132750.00
87000000.00,350100280.00
86000000.00,148715342.00
85000000.00,427230516.00
85000000.00,385000317.00
85000000.00,450728529.00
85000000.00,311001124.00
85000000.00,315268353.00
85000000.00,359347833.00
85000000.00,299477886.00
85000000.00,276014965.00
85000000.00,378659142.00
85000000.00,363664533.00
85000000.00,340384141.00
85000000.00,208542162.00
85000000.00,185708462.00
85000000.00,311744465.00
85000000.00,224614744.00
85000000.00,250649836.00
85000000.00,191932158.00
85000000.00,150422946.00
85000000.00,66941559.00
85000000.00,173613482.00
85000000.00,205190324.00
85000000.00,157794205.00
85000000.00,161510853.00
85000000.00,96971293.00
85000000.00,137298489.00
85000000.00,80831893.00
85000000.00,148947564.00
85000000.00,345033359.00
85000000.00,44650003.00
85000000.00,113026383.00
85000000.00,78353508.00
85000000.00,78948765.00
85000000.00,113487912.00
85000000.00,83080084.00
85000000.00,48056764.00
85000000.00,74120792.00
85000000.00,35681080.00
84000000.00,435903708.00
84000000.00,276294164.00
84000000.00,166307945.00
84000000.00,141507355.00
82500000.00,237685089.00
82500000.00,143985708.00
82500000.00,222640812.00
82500000.00,160388063.00
82000000.00,191558505.00
82000000.00,268268174.00
82000000.00,201852140.00
82000000.00,96024898.00
81000000.00,484468608.00
80000000.00,677923379.00
80000000.00,586764305.00
80000000.00,457697994.00
80000000.00,310570560.00
80000000.00,469500298.00
80000000.00,266824291.00
80000000.00,446253019.00
80000000.00,416385488.00
80000000.00,343397247.00
80000000.00,245800000.00
80000000.00,349464664.00
80000000.00,247023808.00
80000000.00,349088523.00
80000000.00,226739416.00
80000000.00,260636271.00
80000000.00,299461782.00
80000000.00,266685242.00
80000000.00,168311558.00
80000000.00,241200000.00
80000000.00,221468935.00
80000000.00,183354514.00
80000000.00,214974953.00
80000000.00,182782518.00
80000000.00,180585259.00
80000000.00,224117573.00
80000000.00,204774690.00
80000000.00,165173909.00
80000000.00,158750817.00
80000000.00,177993801.00
80000000.00,180188905.00
80000000.00,250180384.00
80000000.00,210315681.00
80000000.00,213682073.00
80000000.00,158926474.00
80000000.00,170805525.00
80000000.00,237370350.00
80000000.00,142783718.00
80000000.00,164800000.00
80000000.00,106515310.00
80000000.00,147080413.00
80000000.00,69618634.00
80000000.00,136047317.00
80000000.00,96135872.00
80000000.00,181038616.00
80000000.00,131159306.00
80000000.00,100378271.00
80000000.00,98983590.00
80000000.00,71485043.00
80000000.00,50632037.00
80000000.00,135432019.00
80000000.00,141475336.00
80000000.00,58270391.00
80000000.00,119668350.00
80000000.00,98341932.00
80000000.00,105299638.00
80000000.00,101371017.00
80000000.00,99010667.00
80000000.00,123368842.00
80000000.00,66554547.00
80000000.00,158908290.00
80000000.00,130818912.00
80000000.00,108469033.00
80000000.00,29725663.00
80000000.00,54540662.00
80000000.00,56984219.00
80000000.00,26703184.00
80000000.00,86787530.00
80000000.00,69131860.00
80000000.00,20841123.00
80000000.00,33463969.00
80000000.00,113325743.00
80000000.00,40147042.00
80000000.00,6300451.00
79300000.00,986214868.00
79000000.00,318146162.00
79000000.00,150519217.00
78000000.00,317668058.00
78000000.00,274392649.00
78000000.00,206455420.00
78000000.00,108086731.00
78000000.00,179265204.00
78000000.00,43957541.00
77500000.00,102028919.00
77000000.00,190376181.00
76000000.00,975216835.00
76000000.00,236410607.00
76000000.00,69845011.00
76000000.00,35129610.00
75000000.00,885302500.00
75000000.00,817400878.00
75000000.00,514602427.00
75000000.00,632483611.00
75000000.00,1032596894.00
75000000.00,618638999.00
75000000.00,651899282.00
75000000.00,556559566.00
75000000.00,272223000.00
75000000.00,371741123.00
75000000.00,296872367.00
75000000.00,342416460.00
75000000.00,336069511.00
75000000.00,196320329.00
75000000.00,392879661.00
75000000.00,202822861.00
75000000.00,342769200.00
75000000.00,155708695.00
75000000.00,197504758.00
75000000.00,97387965.00
75000000.00,211562435.00
75000000.00,218673959.00
75000000.00,221593554.00
75000000.00,141267370.00
75000000.00,213500000.00
75000000.00,119512771.00
75000000.00,73521587.00
75000000.00,188125496.00
75000000.00,94944017.00
75000000.00,131492772.00
75000000.00,95572749.00
75000000.00,108517735.00
75000000.00,85632458.00
75000000.00,72785169.00
75000000.00,54344321.00
75000000.00,71523271.00
75000000.00,39251128.00
75000000.00,127361412.00
75000000.00,89758389.00
